Location,ID,Under 200%,Total,percent
Alabama,AL,1736300,4752600,0.365336868
Arkansas,AR,1163000,2921300,0.39811043
Arizona,AZ,2358000,7004300,0.336650343
California,CA,11544200,38745900,0.297946363
Colorado,CO,1374500,5555200,0.247425835
Connecticut,CT,818800,3466300,0.236217292
District of Columbia,DC,183200,667900,0.274292559
Delaware,DE,256000,937700,0.273008425
Florida,FL,6915300,20843500,0.331772495
Georgia,GA,3390000,10212800,0.331936394
Iowa,IA,838800,3056800,0.274404606
Idaho,ID,576600,1719600,0.335310537
Illinois,IL,3515500,12438400,0.282632815
Indiana,IN,2020600,6487100,0.311479706
Kansas,KS,841500,2814700,0.298966142
Kentucky,KY,1557900,4320300,0.360599958
Louisiana,LA,1809700,4519300,0.400438121
Massachusetts,MA,1500100,6659900,0.225243622
Maryland,MD,1228300,5870800,0.209221912
Maine,ME,375300,1299500,0.288803386
Michigan,MI,3054100,9770000,0.312599795
Minnesota,MN,1317400,5489000,0.240007287
Missouri,MO,1867200,5934500,0.314634763
Mississippi,MS,1189900,2879400,0.413245815
Montana,MT,331700,1034000,0.320793037
North Carolina,NC,3366800,10044400,0.335191749
North Dakota,ND,180400,730600,0.246920339
Nebraska,NE,544200,1868900,0.291187329
New Hampshire,NH,262600,1310300,0.200412119
New Jersey,NJ,1918800,8728300,0.219836623
New Mexico,NM,861600,2045300,0.421258495
Nevada,NV,947600,2983400,0.317624187
New York,NY,5644100,19016900,0.296793904
Ohio,OH,3524500,11355900,0.310367298
Oklahoma,OK,1367800,3816100,0.358428762
Oregon,OR,1202600,4110800,0.292546463
Pennsylvania,PA,3449500,12388100,0.278452709
Rhode Island,RI,272500,1014000,0.268737673
South Carolina,SC,1741100,4929800,0.353178628
South Dakota,SD,261800,848700,0.30847178
Tennessee,TN,2335300,6586400,0.35456395
Texas,TX,9591800,28024000,0.342270911
Utah,UT,797800,3105900,0.256865965
Virginia,VA,2007100,8182100,0.245303773
Vermont,VT,157900,600600,0.262903763
Washington,WA,1816000,7368000,0.246471227
Wisconsin,WI,1498400,5662800,0.264604083
West Virginia,WV,674100,1752300,0.384694402
Wyoming,WY,149500,560300,0.266821346
